Distance to Niagara Falls (miles),Average Pleasure Trip Distance,Disposible Income,Popular Vote,Work Force Participation %,Median Temperature,Urban Population %,Sales Tax %,Median Income,Population,Median Cost of Advertising - CPC compared to US average
781.5479239,17.69481,48945,64.8,57.233,63.7,0.577,9.29,53913.0,5143030,78
3077.20939,11.64577,65943,54.7,65.133,28.1,0.649,1.82,77845.0,733536,43
1898.296367,17.91022,56293,52.2,62.092,61.1,0.893,8.38,69056.0,7497000,-5
913.2587392,9.720169,52282,64.2,57.517,61.1,0.555,9.45,52528.0,3089060,-32
2188.195488,13.06524,69140,38.1,62.025,59.1,0.942,8.85,84907.0,38889800,0
1359.883864,14.87108,70179,43.2,68.392,46.3,0.86,7.81,82254.0,5914180,3
330.2246501,10.75508,76114,41.9,64.225,50.0,0.863,6.35,83771.0,3625650,11
295.5405514,15.73851,58787,41.9,60.875,56.3,0.826,0.0,71091.0,1044320,-45
891.0723659,12.19397,60972,56.1,59.6,71.5,0.915,7.0,63062.0,22975900,-1
705.2248977,13.77591,52880,50.7,61.642,64.3,0.741,7.38,66559.0,11145300,5
1854.468324,10.20043,58283,37.5,60.192,70.2,0.861,4.5,84857.0,1430880,-22
444.2796652,8.551688,52972,66.9,62.825,44.0,0.692,6.03,66474.0,1990460,26
432.7744819,12.39378,63018,43.8,64.233,52.7,0.869,8.86,72205.0,12516900,-6
750.7792588,13.03495,54717,58.6,63.3,52.5,0.712,7.0,62743.0,6892120,14
1029.599473,13.98717,56552,56.0,67.733,48.4,0.632,6.94,65600.0,3214320,-20
483.7680296,10.29485,59102,57.2,66.558,55.1,0.723,8.65,64124.0,2944380,-2
1090.807489,14.73813,49744,64.6,57.142,56.4,0.587,6.0,55573.0,4540740,-28
446.0915977,10.65422,53626,60.2,58.633,67.2,0.715,9.56,52087.0,4559480,34
292.1122042,12.3563,58110,45.4,59.167,41.9,0.386,5.5,64767.0,1402110,48
411.3944666,15.32584,64681,34.8,65.1,55.5,0.856,6.0,90203.0,6196520,-2
208.2860046,11.39816,76107,36.5,65.05,48.9,0.913,6.25,89645.0,7020060,-8
717.256736,13.29352,54612,49.7,61.942,45.3,0.735,6.0,63498.0,10041200,-4
959.3642178,19.35718,63250,46.9,68.367,41.8,0.719,8.04,77720.0,5761530,-37
852.8944458,13.51206,45805,61.6,53.983,64.3,0.463,7.06,48716.0,2940450,15
1458.685287,11.85049,55935,58.5,63.067,55.3,0.695,8.39,61847.0,6215140,21
872.7613206,13.93778,57099,58.4,63.1,42.6,0.534,0.0,63249.0,1142750,-1
1965.462764,10.55032,64211,59.6,69.075,49.5,0.73,6.97,66817.0,1988700,-45
386.2499305,9.318304,58565,50.6,62.717,51.1,0.941,8.24,66274.0,3210930,-27
300.7956788,12.39746,69821,48.1,65.058,44.2,0.583,0.0,88465.0,1405100,-28
1572.715151,15.43735,71166,46.1,64.925,53.6,0.938,6.6,89296.0,9320860,-11
308.9199798,12.80131,49969,45.9,57.242,54.5,0.745,7.62,53992.0,2115270,-25
550.5062118,11.13649,68435,44.1,61.15,46.1,0.874,8.53,74314.0,19469200,-23
903.9676538,13.30077,54995,51.0,61.017,59.6,0.667,7.0,61972.0,10975000,9
296.2632663,11.87729,65240,30.8,69.2,41.1,0.61,7.04,66519.0,788940,24
1115.931363,10.64753,54915,55.2,61.842,51.8,0.763,7.24,62262.0,11812200,21
2141.361015,16.41715,55465,66.2,62.933,60.4,0.646,8.99,55826.0,4088380,8
296.910461,11.20272,58633,41.4,62.358,48.0,0.805,0.0,71562.0,4227340,0
401.585196,11.93343,60812,50.4,62.192,49.6,0.765,6.34,68957.0,12951300,6
712.7803382,9.602871,59820,42.1,63.592,50.8,0.911,7.0,74008.0,1098080,-42
888.3571239,14.06681,51274,58.2,57.383,63.4,0.679,7.5,59318.0,5464160,-1
629.4795025,16.96863,66607,63.4,68.208,45.8,0.572,6.11,66143.0,928767,-65
1287.002292,15.61725,56938,64.2,59.833,58.5,0.662,9.55,59695.0,7204000,-8
1687.657736,13.90337,60147,56.3,64.492,65.8,0.837,8.2,66963.0,30976800,19
308.8677636,11.00853,56039,59.4,69.5,49.3,0.898,7.25,79449.0,3454230,-28
460.7222051,11.12162,59456,32.6,64.683,43.2,0.351,6.36,72431.0,647818,3
2101.064817,14.93492,64506,46.6,66.367,56.1,0.756,5.77,80963.0,8752300,-5
353.3025229,14.76082,71225,39.2,64.325,47.4,0.834,9.38,84247.0,7841280,27
446.3076652,9.204881,48076,70.0,54.908,52.7,0.446,6.57,51248.0,1766110,60
1324.080593,13.55521,57829,49.7,65.833,44.0,0.671,5.7,67125.0,5931370,0
1350.0,14.72875,72699,72.3,63.933,42.3,0.62,5.44,65204.0,586485,-38
